Date,Open,High,Low,Close,Volume
1998-06-02,11.071,11.071,11.071,11.071,553241.0
1998-06-03,12.163,12.163,12.163,12.163,212085.0
1998-06-04,13.255,13.255,13.255,13.255,628114.0
1998-06-05,13.415,13.415,13.415,13.415,241411.0
1998-06-08,13.36,13.36,13.36,13.36,135799.0
1998-06-09,12.814,12.814,12.814,12.814,93801.0
1998-06-10,11.777999999999999,11.777999999999999,11.777999999999999,11.777999999999999,187401.0
1998-06-15,11.071,11.071,11.071,11.071,309843.0
1998-06-16,11.455,11.455,11.455,11.455,256309.0
1998-06-17,12.542,12.542,12.542,12.542,157719.0
1998-06-18,12.758,12.758,12.758,12.758,136408.0
1998-06-19,12.652000000000001,12.652000000000001,12.652000000000001,12.652000000000001,186574.0
1998-06-22,12.982000000000001,12.982000000000001,12.982000000000001,12.982000000000001,267031.0
1998-06-23,13.36,13.36,13.36,13.36,256569.0
1998-06-24,13.36,13.36,13.36,13.36,91216.0
1998-06-25,13.36,13.36,13.36,13.36,104152.0
1998-06-26,13.794,13.794,13.794,13.794,378915.0
1998-06-29,14.069,14.069,14.069,14.069,172411.0
1998-06-30,14.18,14.18,14.18,14.18,154485.0
1998-07-01,14.887,14.887,14.887,14.887,200541.0
1998-07-02,15.16,15.16,15.16,15.16,170204.0
1998-07-03,15.544,15.544,15.544,15.544,178954.0
1998-07-06,16.086,16.086,16.086,16.086,204774.0
1998-07-07,16.526,16.526,16.526,16.526,396111.0
1998-07-08,16.358,16.358,16.358,16.358,123267.0
1998-07-09,15.544,15.544,15.544,15.544,275231.0
1998-07-10,15.544,15.544,15.544,15.544,119449.0
1998-07-13,16.631,16.631,16.631,16.631,48999.0
1998-07-14,17.885,17.885,17.885,17.885,244050.0
1998-07-15,17.885,17.885,17.885,17.885,146982.0
1998-07-16,17.722,17.722,17.722,17.722,93958.0
1998-07-17,18.158,18.158,18.158,18.158,162929.0
1998-07-20,17.722,18.977,17.722,18.815,143990.0
1998-07-21,18.977,18.977,18.430999999999997,18.542,210383.0
1998-07-22,18.158,18.158,17.722,17.885,177924.0
1998-07-23,17.997,18.977,17.997,18.704,163465.0
1998-07-24,18.269000000000002,18.815,18.269000000000002,18.542,152440.0
1998-07-27,18.430999999999997,18.430999999999997,17.45,17.617,137152.0
1998-07-28,17.722,17.722,17.177,17.346,195528.0
1998-07-29,16.905,17.346,16.526,17.346,215878.0
1998-07-30,17.45,17.885,17.177,17.346,106166.0
1998-07-31,17.885,17.885,17.45,17.617,114040.0
1998-08-03,17.177,17.45,17.07,17.346,356092.0
1998-08-04,17.45,18.269000000000002,17.45,18.269000000000002,127398.0
1998-08-05,17.722,18.269000000000002,17.722,17.997,185865.0
