Date,Open,High,Low,Close,Volume
2011-04-21,98.675,113.79,98.675,108.46,39219.0
2011-04-26,108.19,109.52,106.67,108.46,1519.0
2011-04-27,108.63,108.91,108.19,108.54,1451.0
2011-04-28,109.34,114.67,109.34,113.34,1888.0
2011-04-29,115.56,115.56,113.88,114.67,1907.0
2011-05-02,114.67,114.77,114.58,114.67,436.0
2011-05-04,114.67,115.56,111.13,115.56,16256.0
2011-05-05,115.56,119.74,115.56,119.03,1079.0
2011-05-06,115.56,117.79,114.67,117.79,571.0
2011-05-09,119.83,119.92,115.56,119.92,4053.0
2011-05-10,119.13,119.92,117.79,119.92,288.0
2011-05-11,119.92,119.92,119.13,119.2,1165.0
2011-05-12,119.83,122.67,119.57,122.67,3826.0
2011-05-13,133.25,140.46,128.9,133.34,5941.0
2011-05-16,131.57,140.46,131.57,139.57,1707.0
2011-05-17,141.34,146.15,137.8,137.8,1653.0
2011-05-18,139.57,139.57,125.61,132.46,561.0
2011-05-19,127.13,127.13,124.46,126.41,597.0
2011-05-20,120.11,128.9,120.11,128.9,1185.0
2011-05-23,127.13,128.82,127.13,128.01,253.0
2011-05-25,124.46,124.46,124.46,124.46,10.0
2011-05-26,124.46,126.23,124.46,126.23,814.0
2011-05-30,128.63,136.91,128.63,133.79,124.0
2011-06-01,129.35,135.12,129.35,135.12,93.0
2011-06-02,135.12,136.91,131.57,136.91,137.0
2011-06-03,128.9,139.12,128.9,139.12,267.0
2011-06-06,139.12,139.57,139.12,139.57,41.0
2011-06-07,137.8,137.8,137.8,137.8,79.0
2011-06-08,134.23,137.8,132.46,132.46,208.0
2011-06-10,133.34,133.34,133.34,133.34,45.0
2011-06-14,128.9,128.9,128.9,128.9,2.0
2011-06-16,128.9,133.34,124.54,133.34,226.0
2011-06-20,125.52,132.46,125.52,132.46,112.0
2011-06-21,124.46,131.57,124.46,131.57,56.0
2011-06-22,129.79,129.79,129.79,129.79,3156.0
2011-06-24,132.46,133.34,132.46,133.34,107.0
2011-06-27,134.32,137.7,133.34,133.34,8231.0
2011-06-28,133.34,134.23,133.34,134.23,47.0
2011-06-29,137.7,141.34,134.42,141.34,961.0
2011-06-30,142.23,142.23,137.87,141.34,5705.0
2011-07-01,141.34,141.34,138.23,141.34,3457.0
2011-07-04,141.34,141.34,141.34,141.34,1.0
2011-07-05,138.23,138.23,138.23,138.23,41.0
2011-07-06,138.23,138.23,138.23,138.23,126.0
2011-07-07,142.68,142.68,142.68,142.68,142.0
2011-07-08,142.68,144.9,142.68,144.9,282.0
2011-07-11,144.01,144.01,142.23,142.23,22546.0
2011-07-12,142.23,142.23,142.23,142.23,13285.0
2011-07-13,142.15,142.23,138.15,138.15,270.0
2011-07-18,138.15,138.15,138.15,138.15,17.0
2011-07-19,138.23,138.23,137.8,137.8,559.0
2011-07-20,137.8,137.8,137.8,137.8,29.0
2011-07-21,133.44,141.34,133.34,141.34,203.0
2011-07-25,133.87,133.87,133.87,133.87,15.0
2011-07-26,133.87,140.46,133.87,140.46,61.0
2011-07-27,140.46,142.23,140.46,142.23,36.0
2011-07-29,142.23,142.23,142.23,142.23,56.0
2011-08-02,140.46,140.46,140.46,140.46,9026.0
2011-08-03,137.8,137.8,137.8,137.8,22569.0
2011-08-04,137.8,137.8,132.46,137.7,244.0
2011-08-05,127.13,134.23,127.13,134.23,8455.0
2011-08-08,128.99,134.23,124.54,133.34,891.0
2011-08-09,124.54,127.57,124.54,126.67,16151.0
2011-08-10,126.67,126.67,114.06,124.1,547.0
2011-08-11,123.12,123.12,123.12,123.12,15.0
2011-08-12,125.08,128.9,125.08,128.9,317.0
2011-08-16,129.25,133.34,129.25,133.34,586.0
2011-08-17,128.01,128.01,128.01,128.01,59.0
2011-08-18,128.9,128.9,128.9,128.9,17.0
2011-08-19,123.56,125.97,121.79,125.97,1101.0
2011-08-22,121.79,125.26,120.9,125.26,348.0
2011-08-23,125.26,125.26,120.01,120.01,127.0
2011-08-25,116.9,118.24,115.56,118.24,1511.0
2011-08-26,118.24,124.46,117.34,120.01,374.0
2011-08-29,120.01,121.61,119.13,121.61,5747.0
2011-08-30,124.9,124.9,123.12,123.12,146.0
2011-08-31,124.01,124.01,122.67,122.67,3034.0
2011-09-01,118.15,118.15,118.15,118.15,17.0
2011-09-02,119.13,121.79,119.13,121.79,5022.0
2011-09-05,120.01,120.37,115.56,120.37,28.0
2011-09-06,120.37,120.37,120.27,120.27,138.0
2011-09-07,121.79,124.54,121.79,124.54,56.0
2011-09-09,119.13,124.46,117.34,124.46,1412.0
2011-09-12,118.24,120.01,118.24,120.01,81.0
2011-09-13,120.01,122.24,120.01,122.24,115.0
2011-09-14,121.35,121.35,121.35,121.35,62.0
2011-09-15,120.01,122.24,115.56,122.24,7932.0
2011-09-19,117.96,124.36,117.96,124.36,66.0
2011-09-21,122.14,122.14,116.45,120.72,543.0
2011-09-22,116.9,120.72,115.12,120.72,187.0
2011-09-23,120.01,120.01,120.01,120.01,22.0
2011-09-26,119.13,120.81,115.12,119.13,946.0
2011-09-27,118.24,124.36,118.24,124.36,1013.0
