Date,Open,High,Low,Close,Volume
2005-02-10,18.804000000000002,19.055999999999997,17.783,17.85,2200218.0
2005-02-11,18.042,18.042,17.723,17.975,231380.0
2005-02-14,17.908,18.226,17.85,18.101,167582.0
2005-02-15,18.168,18.226,18.101,18.168,57868.0
2005-02-16,18.168,18.419,18.101,18.36,274010.0
2005-02-17,18.36,18.36,18.101,18.293,127291.0
2005-02-18,18.168,18.293,17.908,18.293,107620.0
2005-02-21,17.975,18.419,17.783,18.293,193778.0
2005-02-22,18.226,18.546,18.042,18.486,145058.0
2005-02-23,18.293,18.93,18.293,18.93,197022.0
2005-02-24,18.989,19.817999999999998,18.989,19.750999999999998,547250.0
2005-02-25,20.01,20.195999999999998,19.692,19.885,387702.0
2005-02-28,20.07,20.195999999999998,19.692,19.692,153420.0
2005-03-01,19.374000000000002,19.750999999999998,19.248,19.692,72927.0
2005-03-02,19.692,19.750999999999998,19.567,19.692,307911.0
2005-03-03,19.625,19.885,19.625,19.692,46841.0
2005-03-04,19.692,19.692,19.182000000000002,19.374000000000002,32889.0
2005-03-07,19.248,19.433,18.804000000000002,19.182000000000002,58396.0
2005-03-08,19.055999999999997,19.182000000000002,18.804000000000002,19.182000000000002,80591.0
2005-03-09,19.182000000000002,19.182000000000002,18.93,18.989,59329.0
2005-03-10,18.989,18.989,18.546,18.737000000000002,90940.0
2005-03-11,18.804000000000002,18.804000000000002,18.36,18.546,83659.0
2005-03-14,18.546,18.671,18.293,18.486,34902.0
2005-03-15,18.419,18.611,18.226,18.611,18088.0
2005-03-16,18.546,18.864,18.36,18.611,63313.0
2005-03-17,18.419,18.546,18.293,18.419,30295.0
2005-03-18,18.419,18.546,18.419,18.419,48112.0
2005-03-21,18.419,18.611,18.419,18.419,28042.0
2005-03-22,18.419,18.419,18.226,18.293,49777.0
2005-03-23,18.226,18.293,18.101,18.168,80851.0
2005-03-24,18.101,18.168,17.975,18.168,161692.0
2005-03-29,18.101,18.101,17.85,17.975,5139.0
2005-03-30,17.975,18.36,17.975,18.36,9414.0
2005-03-31,18.419,18.419,18.226,18.293,12823.0
2005-04-01,18.168,18.293,18.042,18.293,76272.0
2005-04-04,18.293,18.293,18.101,18.101,87851.0
2005-04-05,18.042,18.36,18.042,18.36,5952.0
2005-04-06,18.36,18.486,18.168,18.486,5241.0
2005-04-07,18.419,18.546,18.168,18.419,5784.0
2005-04-11,18.101,18.419,18.101,18.293,7015.0
2005-04-12,18.419,18.419,18.101,18.101,15351.0
2005-04-13,18.042,18.419,18.042,18.226,12367.0
2005-04-14,18.101,18.419,18.101,18.419,15523.0
2005-04-15,18.226,18.486,18.168,18.419,13561.0
2005-04-18,18.101,18.36,17.783,18.36,35297.0
2005-04-19,18.101,18.101,17.85,17.908,2282.0
2005-04-20,17.908,18.101,17.531,17.723,17706.0
2005-04-21,17.783,17.783,17.147000000000002,17.147000000000002,6245.0
2005-04-22,17.213,17.213,16.576,16.836,8464.0
2005-04-25,16.517,16.517,15.815,16.074,61006.0
2005-04-26,16.133,16.199,15.562999999999999,15.815,14466.0
2005-04-27,15.880999999999998,15.880999999999998,15.177999999999999,15.177999999999999,34178.0
2005-04-28,15.119000000000002,15.244000000000002,14.482000000000001,15.244000000000002,41556.0
2005-04-29,15.244000000000002,16.007,15.119000000000002,15.880999999999998,37878.0
2005-05-02,16.199,16.325,16.074,16.325,4266.0
2005-05-04,16.451,16.451,16.074,16.199,7926.0
2005-05-05,16.007,16.133,15.623,16.074,7695.0
2005-05-06,15.689,16.007,15.689,15.880999999999998,6347.0
2005-05-09,16.074,16.074,15.880999999999998,16.007,20259.0
2005-05-10,16.133,16.133,15.815,15.880999999999998,13922.0
2005-05-11,15.755999999999998,15.880999999999998,15.755999999999998,15.880999999999998,10947.0
2005-05-12,15.815,15.940999999999999,15.755999999999998,15.880999999999998,9154.0
2005-05-13,15.815,15.880999999999998,15.689,15.880999999999998,4888.0
2005-05-16,15.880999999999998,16.007,15.562999999999999,15.815,13429.0
2005-05-17,15.815,15.940999999999999,15.815,15.940999999999999,15739.0
2005-05-18,15.815,15.880999999999998,15.755999999999998,15.880999999999998,5513.0
2005-05-19,15.880999999999998,16.007,15.562999999999999,16.007,7752.0
2005-05-20,15.940999999999999,16.007,15.880999999999998,15.940999999999999,34161.0
2005-05-23,15.880999999999998,15.940999999999999,15.755999999999998,15.880999999999998,12788.0
2005-05-24,15.880999999999998,16.133,15.880999999999998,15.880999999999998,16449.0
2005-05-25,15.940999999999999,16.384,15.940999999999999,16.199,38078.0
2005-05-27,16.325,16.451,16.074,16.199,6175.0
2005-05-30,15.880999999999998,16.133,15.880999999999998,15.940999999999999,5829.0
2005-05-31,16.074,16.576,16.074,16.517,17699.0
2005-06-01,16.576,17.021,16.517,16.836,179702.0
2005-06-02,16.895,16.895,16.643,16.769000000000002,34145.0
2005-06-03,16.895,16.895,16.769000000000002,16.769000000000002,17066.0
2005-06-06,16.769000000000002,16.836,16.451,16.517,30943.0
2005-06-07,16.769000000000002,16.769000000000002,16.517,16.703,8435.0
2005-06-08,16.576,16.703,16.384,16.451,16961.0
2005-06-09,16.643,16.703,16.325,16.517,14457.0
2005-06-10,16.517,16.517,16.384,16.517,15151.0
2005-06-13,16.517,16.576,16.258,16.517,31194.0
2005-06-14,16.517,16.643,16.451,16.576,69483.0
2005-06-15,16.576,17.213,16.576,17.147000000000002,501955.0
2005-06-16,17.465,17.531,16.836,17.088,43621.0
2005-06-17,17.147000000000002,17.213,17.147000000000002,17.213,15965.0
2005-06-20,17.28,17.28,16.895,17.147000000000002,11066.0
2005-06-21,17.147000000000002,17.34,17.021,17.34,23587.0
2005-06-22,17.28,17.406,17.147000000000002,17.147000000000002,22618.0
2005-06-23,17.28,17.28,17.021,17.28,15393.0
2005-06-24,17.28,17.28,17.088,17.28,51637.0
2005-06-27,17.147000000000002,17.147000000000002,17.021,17.147000000000002,4770.0
2005-06-28,17.088,17.147000000000002,17.021,17.021,4013.0
2005-06-29,17.021,17.021,16.703,16.895,19249.0
2005-06-30,16.836,17.28,16.836,17.28,47616.0
2005-07-01,17.28,17.34,17.147000000000002,17.28,86095.0
2005-07-04,17.28,17.465,17.28,17.406,18646.0
2005-07-05,17.465,17.465,17.147000000000002,17.28,84009.0
2005-07-06,17.147000000000002,17.28,17.021,17.28,9552.0
2005-07-07,17.34,17.406,17.021,17.213,30509.0
2005-07-08,17.213,17.28,17.147000000000002,17.28,11453.0
2005-07-11,17.213,17.213,17.021,17.088,7599.0
2005-07-12,16.895,17.213,16.836,17.213,7808.0
2005-07-13,17.34,17.34,17.28,17.34,8647.0
2005-07-14,17.34,17.34,17.147000000000002,17.34,8053.0
2005-07-15,17.213,17.28,17.147000000000002,17.28,4829.0
2005-07-18,17.088,17.147000000000002,16.955,17.021,9272.0
2005-07-19,17.021,17.021,16.253,16.445,40925.0
2005-07-20,16.955,17.021,16.570999999999998,16.955,83580.0
2005-07-21,16.955,17.021,16.955,16.955,11450.0
2005-07-22,16.829,16.829,16.703,16.762999999999998,44969.0
2005-07-25,16.703,16.762999999999998,16.504,16.570999999999998,44052.0
2005-07-26,16.703,16.895,16.703,16.895,8749.0
2005-07-27,16.762999999999998,16.955,16.762999999999998,16.895,20505.0
2005-07-28,16.895,17.34,16.895,17.28,22006.0
2005-07-29,17.34,17.34,17.088,17.213,13111.0
2005-08-01,17.28,17.34,17.021,17.147000000000002,17391.0
2005-08-02,17.213,17.538,17.213,17.538,29292.0
2005-08-03,17.538,17.664,17.406,17.598,35804.0
2005-08-04,17.472,17.538,17.34,17.538,9764.0
2005-08-05,17.664,18.174,17.598,17.982,88539.0
2005-08-08,17.922,18.367,17.922,18.367,32931.0
2005-08-09,18.305999999999997,18.433,18.305999999999997,18.367,23918.0
2005-08-10,18.367,18.433,18.305999999999997,18.367,27801.0
2005-08-11,18.305999999999997,18.305999999999997,18.049,18.305999999999997,34118.0
2005-08-12,17.982,18.049,17.922,18.049,40036.0
2005-08-16,17.982,18.305999999999997,17.857,18.049,50537.0
2005-08-17,17.982,18.049,17.922,17.982,48883.0
2005-08-18,17.922,17.922,17.34,17.538,19798.0
2005-08-19,17.472,17.664,17.472,17.664,4752.0
2005-08-22,17.73,17.922,17.664,17.922,7246.0
2005-08-23,17.73,17.79,17.664,17.79,4890.0
2005-08-24,17.664,17.857,17.538,17.857,18302.0
2005-08-25,17.664,17.857,17.664,17.857,6688.0
2005-08-26,17.73,17.857,17.73,17.79,8100.0
2005-08-29,17.598,17.73,17.598,17.73,6518.0
2005-08-30,17.538,17.922,17.538,17.922,12923.0
2005-08-31,17.664,17.857,17.598,17.857,14312.0
2005-09-01,17.73,17.857,17.664,17.857,18350.0
2005-09-02,17.73,17.857,17.664,17.857,25279.0
2005-09-05,17.73,17.857,17.664,17.857,12972.0
2005-09-06,17.664,17.857,17.598,17.79,10733.0
