Date,Open,High,Low,Close,Volume
2007-06-29,4.4675,4.5893,4.1019,4.1019,18087251.0
2007-07-02,4.1697,4.1697,3.6823,3.9463,7394620.0
2007-07-03,4.0614,4.1561,4.0274,4.0748,6047295.0
2007-07-04,4.129,4.2103,4.0816,4.129,2322310.0
2007-07-05,4.1764,4.1764,4.0274,4.1019,1853164.0
2007-07-06,4.1155,4.1222,4.0478,4.0546,690483.0
2007-07-09,4.0681,4.0681,3.8922,3.9191,1148111.0
2007-07-10,3.9056,3.9259,3.7431,3.7771,2272157.0
2007-07-11,3.7906,3.7906,3.5875,3.6619,1662109.0
2007-07-12,3.6146,3.7094,3.5875,3.6484,1080958.0
2007-07-13,3.6484,3.7771,3.6146,3.7567,1115102.0
2007-07-16,3.7703,3.8447,3.4589,3.6552,606892.0
2007-07-17,3.6282,3.6282,3.4792,3.5672,823305.0
2007-07-18,3.5875,3.5875,3.486,3.5063,1146554.0
2007-07-19,3.5198,3.8718,3.5198,3.8041,1969161.0
2007-07-20,3.8583,3.8583,3.6889999999999996,3.7026,828451.0
2007-07-23,3.7026,3.7771,3.5875,3.6552,507577.0
2007-07-24,3.7364,3.7364,3.4995,3.5131,1318456.0
2007-07-25,3.3845,3.5063,3.2355,3.486,2171324.0
2007-07-26,3.486,3.5063,3.3709,3.3709,1289631.0
2007-07-27,3.2558,3.4183,3.2423,3.2491,1707642.0
2007-07-30,3.2829,3.3845,3.2829,3.3167,607588.0
2007-07-31,3.3776,3.486,3.3776,3.4183,1021251.0
2007-08-01,3.3845,3.3845,3.3032,3.3304,593667.0
2007-08-02,3.425,3.4453,3.2762,3.2762,1780632.0
2007-08-03,3.3371,3.3371,3.2355,3.2491,331944.0
2007-08-06,3.1814,3.1949,3.0460000000000003,3.1137,879460.0
2007-08-07,3.1814,3.2085,2.8632,2.8632,1428091.0
2007-08-08,2.9173,3.0325,2.8632,2.8768,1981299.0
2007-08-09,2.9106,2.9106,2.6466,2.7211,3703940.0
2007-08-10,2.6128,2.6264,2.43,2.4706,3294309.0
2007-08-13,2.4706,2.8023,2.4706,2.7413,3229511.0
2007-08-14,2.7413,2.8294,2.7007,2.7007,3200206.0
2007-08-16,2.5654,2.5654,2.3149,2.4368,2295552.0
2007-08-17,2.43,2.7007,2.3962,2.6399,3563911.0
2007-08-20,2.7413,2.8089999999999997,2.6399,2.6872,1076970.0
2007-08-21,2.7143,2.7143,2.5654,2.6737,963453.0
2007-08-22,2.7075,2.8089999999999997,2.6466,2.7617,2961910.0
2007-08-23,2.8023,2.8835,2.7481,2.7685,2829116.0
2007-08-24,2.7752,2.8903,2.7211,2.8159,2030309.0
2007-08-27,2.8768,2.9783,2.8768,2.9039,1459925.0
2007-08-28,2.9039,2.9581,2.8564,2.9173,889559.0
2007-08-29,2.7481,2.9242,2.7413,2.9039,1048345.0
2007-08-30,2.9783,3.0189,2.694,2.7685,1985290.0
2007-08-31,2.8226,2.9106,2.8226,2.843,588645.0
