Date,Open,High,Low,Close,Volume
2013-10-30,72.42399999999999,75.38600000000001,72.27,73.29,7878057.0
2013-10-31,72.433,74.14,72.433,73.282,340392.0
2013-11-04,73.146,73.824,72.795,73.01100000000001,165168.0
2013-11-05,72.83,73.146,72.334,72.785,286287.0
2013-11-06,72.116,72.477,67.737,72.477,571503.0
2013-11-07,70.527,72.37899999999999,70.527,72.243,224280.0
2013-11-08,72.243,72.604,72.243,72.604,144909.0
2013-11-12,72.243,73.598,72.071,73.282,131557.0
2013-11-13,72.957,74.53699999999999,72.785,74.35600000000001,125099.0
2013-11-14,73.064,74.04899999999999,72.795,74.04899999999999,112656.0
2013-11-15,73.164,76.297,73.164,74.962,150131.0
2013-11-18,74.952,75.99,74.185,75.585,219617.0
2013-11-19,74.862,76.0,74.663,75.404,121691.0
2013-11-20,75.404,75.404,74.501,74.501,188527.0
2013-11-21,74.35600000000001,74.59100000000001,73.598,73.842,584160.0
2013-11-22,73.598,74.727,73.507,74.41,156643.0
2013-11-25,74.094,76.189,74.094,75.855,316155.0
2013-11-26,75.503,75.855,74.97,75.575,144217.0
2013-11-27,74.78,77.066,74.78,76.759,508515.0
2013-11-28,76.759,79.468,76.759,77.887,288377.0
2013-11-29,77.933,78.935,77.933,78.47399999999999,93914.0
2013-12-02,78.47399999999999,78.47399999999999,77.391,77.391,71546.0
2013-12-03,78.005,78.195,75.855,76.324,65785.0
2013-12-04,76.759,77.165,75.86399999999999,75.86399999999999,92114.0
2013-12-05,76.487,76.749,75.404,75.404,39045.0
2013-12-06,75.828,75.855,75.223,75.539,38778.0
2013-12-09,75.86399999999999,78.023,75.86399999999999,77.66199999999999,67169.0
2013-12-10,77.84100000000001,78.095,77.391,77.66199999999999,73736.0
2013-12-11,77.84100000000001,77.887,76.759,77.165,119454.0
2013-12-12,77.202,77.202,74.952,74.952,75743.0
2013-12-13,74.952,75.657,74.844,74.952,237999.0
2013-12-16,74.962,75.855,74.962,75.855,218266.0
2013-12-17,76.125,76.125,73.327,73.688,279284.0
2013-12-18,73.688,75.178,73.688,74.952,231995.0
2013-12-19,74.98899999999999,75.855,73.444,74.04899999999999,132333.0
2013-12-20,74.952,75.078,73.706,74.32,109157.0
2013-12-23,74.501,75.46600000000001,73.607,74.59100000000001,147011.0
2013-12-27,74.736,75.25,74.068,75.25,148685.0
2013-12-30,75.404,77.635,75.404,77.635,126936.0
2014-01-02,76.91199999999999,78.067,76.759,78.05,14311.0
2014-01-03,78.05,78.05,77.237,77.3,8066.0
2014-01-07,77.274,77.274,75.747,76.307,50004.0
2014-01-08,75.757,77.607,75.404,76.903,22686.0
2014-01-09,77.52600000000001,77.52600000000001,76.125,76.767,16892.0
2014-01-10,76.759,76.759,75.133,76.063,22576.0
2014-01-13,76.063,77.57,76.063,77.553,66071.0
2014-01-14,77.03,78.023,76.759,77.12,88732.0
2014-01-15,77.66199999999999,77.66199999999999,77.12,77.52600000000001,80050.0
2014-01-16,77.57,78.384,77.391,77.84100000000001,60129.0
2014-01-17,77.933,80.19,77.933,79.32300000000001,128197.0
2014-01-20,79.32300000000001,79.458,78.229,79.422,58747.0
2014-01-21,79.477,80.813,79.468,80.505,66167.0
2014-01-22,80.732,82.005,79.938,81.273,107841.0
2014-01-23,81.725,83.052,81.634,82.177,71393.0
2014-01-24,81.779,81.816,80.469,81.273,128446.0
2014-01-27,80.82300000000001,81.17399999999999,78.664,81.17399999999999,58163.0
2014-01-28,80.605,82.005,80.37,82.005,33431.0
