Date,Open,High,Low,Close,Volume
1993-06-22,5.3408,5.3408,5.3408,5.3408,1150811.0
1993-06-24,4.8771,4.8771,4.8771,4.8771,1020117.0
1993-06-28,4.8771,4.8771,4.8771,4.8771,485014.0
1993-06-29,5.1612,5.1612,5.1612,5.1612,392996.0
1993-07-01,5.3408,5.3408,5.3408,5.3408,636014.0
1993-07-05,5.5877,5.5877,5.5877,5.5877,412244.0
1993-07-06,5.6176,5.6176,5.6176,5.6176,288042.0
1993-07-08,5.0565,5.0565,5.0565,5.0565,312686.0
1993-07-12,5.1612,5.1612,5.1612,5.1612,147296.0
1993-07-13,5.1238,5.1238,5.1238,5.1238,188099.0
1993-07-15,5.0565,5.0565,5.0565,5.0565,340751.0
1993-07-19,5.0565,5.0565,5.0565,5.0565,290637.0
1993-07-20,4.9817,4.9817,4.9817,4.9817,355875.0
1993-07-22,5.0939,5.0939,5.0939,5.0939,411515.0
1993-07-26,5.0939,5.0939,5.0939,5.0939,267050.0
1993-07-27,5.019,5.019,5.019,5.019,203955.0
1993-07-29,5.0939,5.0939,5.0939,5.0939,268328.0
1993-08-02,5.1612,5.1612,5.1612,5.1612,216578.0
1993-08-03,5.1612,5.1612,5.1612,5.1612,230609.0
1993-08-05,5.1238,5.1238,5.1238,5.1238,239453.0
1993-08-09,5.6176,5.6176,5.6176,5.6176,624154.0
1993-08-10,6.186,6.186,6.186,6.186,
1993-08-12,6.8219,6.8219,6.8219,6.8219,
1993-08-16,7.4577,7.4577,7.4577,7.4577,762992.0
1993-08-17,8.2062,8.2062,8.2062,8.2062,961716.0
1993-08-19,8.9834,8.9834,8.9834,8.9834,651503.0
1993-08-23,9.791,9.791,9.791,9.791,
1993-08-24,10.712,10.712,10.712,10.712,279574.0
1993-08-26,11.812000000000001,11.812000000000001,11.812000000000001,11.812000000000001,580121.0
1993-08-30,10.644,10.644,10.644,10.644,562720.0
1993-08-31,9.619,9.619,9.619,9.619,646725.0
1993-09-02,10.502,10.502,10.502,10.502,396293.0
1993-09-06,11.489,11.489,11.489,11.489,890022.0
1993-09-07,10.323,10.323,10.323,10.323,837494.0
1993-09-09,9.897,9.897,9.897,9.897,388022.0
1993-09-13,9.791,9.791,9.791,9.791,226045.0
1993-09-14,9.897,9.897,9.897,9.897,247956.0
1993-09-16,10.217,10.217,10.217,10.217,406774.0
1993-09-20,9.1927,9.1927,9.1927,9.1927,310848.0
1993-09-21,8.2728,8.2728,8.2728,8.2728,256020.0
1993-09-23,7.4577,7.4577,7.4577,7.4577,311000.0
1993-09-27,6.8592,6.8592,6.8592,6.8592,496223.0
1993-09-28,7.5324,7.5324,7.5324,7.5324,
1993-09-30,8.2062,8.2062,8.2062,8.2062,336464.0
1993-10-04,8.9834,8.9834,8.9834,8.9834,761337.0
1993-10-05,9.4029,9.4029,9.4029,9.4029,726818.0
1993-10-07,9.4029,9.4029,9.4029,9.4029,775770.0
1993-10-11,9.972000000000001,9.972000000000001,9.972000000000001,9.972000000000001,739575.0
1993-10-12,10.57,10.57,10.57,10.57,656329.0
1993-10-14,10.57,10.57,10.57,10.57,558418.0
1993-10-18,11.421,11.421,11.421,11.421,1177816.0
1993-10-19,10.995,10.995,10.995,10.995,423119.0
1993-10-21,10.397,10.397,10.397,10.397,572037.0
1993-10-26,9.972000000000001,9.972000000000001,9.972000000000001,9.972000000000001,431752.0
1993-10-28,10.57,10.57,10.57,10.57,562481.0
1993-11-02,10.57,10.57,10.57,10.57,336267.0
1993-11-04,10.644,10.644,10.644,10.644,655878.0
1993-11-08,10.217,10.217,10.217,10.217,368634.0
1993-11-09,9.972000000000001,9.972000000000001,9.972000000000001,9.972000000000001,479743.0
1993-11-10,10.57,10.57,10.57,10.57,304102.0
1993-11-15,10.921,10.921,10.921,10.921,535809.0
1993-11-16,10.817,10.817,10.817,10.817,395142.0
1993-11-18,9.725,9.725,9.725,9.725,523375.0
1993-11-22,9.725,9.725,9.725,9.725,386482.0
1993-11-23,10.323,10.323,10.323,10.323,215831.0
1993-11-25,10.397,10.397,10.397,10.397,334058.0
1993-11-29,10.397,10.397,10.397,10.397,428193.0
1993-11-30,10.502,10.502,10.502,10.502,265817.0
1993-12-02,10.644,10.644,10.644,10.644,517591.0
1993-12-06,11.735999999999999,11.735999999999999,11.735999999999999,11.735999999999999,850626.0
1993-12-07,12.162,12.162,12.162,12.162,699017.0
1993-12-09,12.088,12.088,12.088,12.088,482336.0
1993-12-13,12.446,12.446,12.446,12.446,499823.0
1993-12-14,12.446,12.446,12.446,12.446,353770.0
1993-12-16,12.761,12.761,12.761,12.761,439552.0
1993-12-20,13.681,13.681,13.681,13.681,629930.0
1993-12-21,13.966,13.966,13.966,13.966,454715.0
1993-12-23,14.497,14.497,14.497,14.497,710304.0
1993-12-27,15.199000000000002,15.199000000000002,15.199000000000002,15.199000000000002,648035.0
1993-12-28,13.681,13.681,13.681,13.681,553952.0
1993-12-30,15.056,15.056,15.056,15.056,745210.0
1994-01-03,15.977,15.977,15.977,15.977,577393.0
1994-01-04,16.613,16.613,16.613,16.613,921837.0
1994-01-06,16.687,16.687,16.687,16.687,850669.0
1994-01-10,17.324,17.324,17.324,17.324,701618.0
1994-01-11,18.738,18.738,18.738,18.738,657869.0
1994-01-13,20.576999999999998,20.576999999999998,20.576999999999998,20.576999999999998,731572.0
1994-01-17,22.553,22.553,22.553,22.553,644723.0
1994-01-18,24.82,24.82,24.82,24.82,595673.0
1994-01-20,27.22,27.22,27.22,27.22,1104814.0
1994-01-24,26.659000000000002,26.659000000000002,26.659000000000002,26.659000000000002,600929.0
1994-01-25,27.361,27.361,27.361,27.361,573643.0
1994-01-27,30.124000000000002,30.124000000000002,30.124000000000002,30.124000000000002,1226762.0
1994-01-31,27.076999999999998,27.076999999999998,27.076999999999998,27.076999999999998,687524.0
1994-02-01,24.467,24.467,24.467,24.467,
1994-02-03,22.059,22.059,22.059,22.059,1302704.0
1994-02-07,24.250999999999998,24.250999999999998,24.250999999999998,24.250999999999998,667066.0
1994-02-08,25.881999999999998,25.881999999999998,25.881999999999998,25.881999999999998,624698.0
1994-02-10,25.311999999999998,25.311999999999998,25.311999999999998,25.311999999999998,416539.0
1994-02-14,25.881999999999998,25.881999999999998,25.881999999999998,25.881999999999998,425511.0
1994-02-15,27.011,27.011,27.011,27.011,335807.0
1994-02-17,27.361,27.361,27.361,27.361,476137.0
1994-02-21,27.22,27.22,27.22,27.22,375185.0
1994-02-22,26.023000000000003,26.023000000000003,26.023000000000003,26.023000000000003,241900.0
1994-02-24,27.361,27.361,27.361,27.361,647377.0
1994-02-28,28.072,28.072,28.072,28.072,318250.0
1994-03-01,28.072,28.072,28.072,28.072,275940.0
1994-03-03,27.361,27.361,27.361,27.361,364439.0
1994-03-07,27.361,27.361,27.361,27.361,365352.0
1994-03-08,27.361,27.361,27.361,27.361,287763.0
1994-03-10,27.58,27.58,27.58,27.58,408600.0
1994-03-14,27.855999999999998,27.855999999999998,27.855999999999998,27.855999999999998,353917.0
1994-03-15,27.361,27.361,27.361,27.361,242294.0
1994-03-17,26.659000000000002,26.659000000000002,26.659000000000002,26.659000000000002,318925.0
1994-03-21,23.965999999999998,23.965999999999998,23.965999999999998,23.965999999999998,214246.0
1994-03-22,21.849,21.849,21.849,21.849,268209.0
1994-03-24,23.965999999999998,23.965999999999998,23.965999999999998,23.965999999999998,609281.0
1994-03-28,22.059,22.059,22.059,22.059,329060.0
1994-03-29,19.8,19.8,19.8,19.8,118806.0
1994-03-31,17.892,17.892,17.892,17.892,617099.0
1994-04-05,17.959,17.959,17.959,17.959,317856.0
1994-04-07,18.453,18.453,18.453,18.453,367275.0
1994-04-08,17.533,17.533,17.533,17.533,327481.0
1994-04-11,15.835999999999999,15.835999999999999,15.835999999999999,15.835999999999999,
1994-04-12,14.279000000000002,14.279000000000002,14.279000000000002,14.279000000000002,270892.0
1994-04-14,14.279000000000002,14.279000000000002,14.279000000000002,14.279000000000002,169771.0
1994-04-18,15.199000000000002,15.199000000000002,15.199000000000002,15.199000000000002,205950.0
1994-04-19,16.687,16.687,16.687,16.687,359993.0
1994-04-21,20.085,20.085,20.085,20.085,262030.0
1994-04-25,19.725,19.725,19.725,19.725,215507.0
1994-04-26,17.817,17.817,17.817,17.817,
1994-04-28,16.052,16.052,16.052,16.052,187113.0
1994-05-05,17.608,17.608,17.608,17.608,149165.0
1994-05-06,15.835999999999999,15.835999999999999,15.835999999999999,15.835999999999999,304412.0
1994-05-09,15.835999999999999,15.835999999999999,15.835999999999999,15.835999999999999,233993.0
1994-05-10,16.195,16.195,16.195,16.195,183672.0
1994-05-12,16.687,16.687,16.687,16.687,308305.0
1994-05-16,18.453,18.453,18.453,18.453,220563.0
1994-05-17,18.101,18.101,18.101,18.101,200375.0
1994-05-19,19.8,19.8,19.8,19.8,334447.0
1994-05-23,20.862,20.862,20.862,20.862,246994.0
1994-05-24,21.281,21.281,21.281,21.281,364593.0
1994-05-26,21.138,21.138,21.138,21.138,302090.0
1994-05-30,21.281,21.281,21.281,21.281,267672.0
1994-05-31,21.138,21.138,21.138,21.138,255265.0
1994-06-01,19.165,19.165,19.165,19.165,258291.0
1994-06-06,19.165,19.165,19.165,19.165,192488.0
1994-06-07,17.817,17.817,17.817,17.817,188255.0
1994-06-09,16.052,16.052,16.052,16.052,164358.0
1994-06-13,14.497,14.497,14.497,14.497,
1994-06-14,13.008,13.008,13.008,13.008,346294.0
1994-06-16,14.279000000000002,14.279000000000002,14.279000000000002,14.279000000000002,354382.0
1994-06-20,12.939,12.939,12.939,12.939,217557.0
1994-06-21,12.162,12.162,12.162,12.162,237257.0
1994-06-23,12.162,12.162,12.162,12.162,356110.0
1994-06-27,13.366,13.366,13.366,13.366,225905.0
1994-06-28,13.254000000000001,13.254000000000001,13.254000000000001,13.254000000000001,92586.0
1994-06-30,12.939,12.939,12.939,12.939,177483.0
1994-07-04,13.614,13.614,13.614,13.614,113840.0
1994-07-05,14.497,14.497,14.497,14.497,109504.0
1994-07-06,15.835999999999999,15.835999999999999,15.835999999999999,15.835999999999999,192610.0
1994-07-07,15.977,15.977,15.977,15.977,196334.0
1994-07-11,16.687,16.687,16.687,16.687,250464.0
1994-07-12,18.453,18.453,18.453,18.453,232354.0
1994-07-13,19.165,19.165,19.165,19.165,326651.0
1994-07-14,17.959,17.959,17.959,17.959,224789.0
1994-07-18,19.725,19.725,19.725,19.725,252803.0
1994-07-19,20.436,20.436,20.436,20.436,323612.0
1994-07-20,18.453,18.453,18.453,18.453,363737.0
1994-07-21,18.805999999999997,18.805999999999997,18.805999999999997,18.805999999999997,181533.0
1994-07-25,18.805999999999997,18.805999999999997,18.805999999999997,18.805999999999997,
1994-07-26,19.658,19.658,19.658,19.658,341075.0
1994-07-27,19.658,19.658,19.658,19.658,195372.0
1994-07-28,19.658,19.658,19.658,19.658,225775.0
1994-08-01,19.516,19.516,19.516,19.516,113628.0
1994-08-02,19.165,19.165,19.165,19.165,77829.0
1994-08-03,19.448,19.448,19.448,19.448,177849.0
1994-08-04,19.725,19.725,19.725,19.725,233399.0
1994-08-08,19.725,19.725,19.725,19.725,140565.0
1994-08-09,19.658,19.658,19.658,19.658,145416.0
1994-08-10,19.373,19.373,19.373,19.373,127209.0
1994-08-11,19.022000000000002,19.022000000000002,19.022000000000002,19.022000000000002,119582.0
1994-08-16,19.725,19.725,19.725,19.725,130355.0
1994-08-17,20.996,20.996,20.996,20.996,199708.0
1994-08-18,20.996,20.996,20.996,20.996,190429.0
1994-08-22,21.281,21.281,21.281,21.281,208964.0
