Date,Open,High,Low,Close,Volume
2018-05-11,50.303000000000004,60.71,49.253,59.747,208348.0
2018-05-14,65.529,72.082,62.927,64.27600000000001,249288.0
2018-05-15,64.179,64.179,56.162,59.747,97505.0
2018-05-16,61.193000000000005,61.577,57.82899999999999,61.356,35290.0
2018-05-17,61.549,61.577,56.855,56.855,24976.0
2018-05-18,56.855,59.747,56.181000000000004,56.855,13556.0
2018-05-21,57.82899999999999,60.71,57.82899999999999,58.59,21103.0
2018-05-22,60.228,60.325,58.783,59.611999999999995,7871.0
2018-05-23,59.747,59.747,56.663000000000004,58.783,12638.0
2018-05-24,58.783,58.783,57.636,58.773,5778.0
2018-05-25,58.783,58.783,57.338,58.31100000000001,6117.0
2018-05-28,58.59,61.674,57.839,61.674,37807.0
2018-05-29,67.456,70.058,63.696999999999996,64.931,94005.0
2018-05-30,62.618,64.372,59.073,60.228,33504.0
2018-06-01,60.228,62.638000000000005,59.458,61.674,6632.0
2018-06-04,62.638000000000005,67.36,62.156000000000006,67.167,20639.0
2018-06-05,68.911,75.156,68.429,75.156,76231.0
2018-06-06,76.851,84.512,74.49,76.418,102082.0
2018-06-07,78.441,80.947,74.212,79.984,22842.0
2018-06-08,79.492,80.937,77.574,79.839,16450.0
2018-06-11,81.429,81.718,72.804,76.505,29878.0
2018-06-12,76.46600000000001,79.02,76.46600000000001,77.468,8278.0
2018-06-13,77.91199999999999,78.057,75.657,76.389,5846.0
2018-06-14,75.165,79.984,73.335,79.502,21826.0
2018-06-15,79.694,79.791,77.767,79.02,13245.0
2018-06-18,78.92399999999999,78.92399999999999,77.092,77.931,6312.0
2018-06-19,77.189,77.189,73.623,75.64699999999999,11557.0
2018-06-20,75.165,76.033,71.503,74.192,12652.0
2018-06-21,74.192,75.33800000000001,68.90100000000001,70.347,16330.0
2018-06-22,69.866,71.311,69.866,70.33800000000001,6763.0
2018-06-25,70.58800000000001,77.083,68.998,74.847,11217.0
2018-06-26,74.972,76.033,72.294,74.192,7274.0
2018-06-27,73.431,74.298,71.918,72.419,6276.0
2018-06-28,71.937,74.202,71.80199999999999,74.183,7330.0
2018-06-29,72.438,74.173,72.429,73.238,13023.0
2018-07-02,73.238,75.262,73.238,75.165,19457.0
2018-07-03,75.165,75.165,73.778,74.587,3556.0
2018-07-04,75.021,76.94800000000001,74.202,74.684,9922.0
2018-07-05,74.78,78.538,74.404,77.574,33729.0
2018-07-06,78.057,79.02,77.112,77.131,7467.0
2018-07-09,77.95,78.047,75.696,76.9,4450.0
2018-07-10,77.131,85.477,76.707,82.48899999999999,66496.0
2018-07-11,83.838,83.838,81.91,82.39299999999999,8326.0
2018-07-12,83.06700000000001,83.829,79.02,82.652,6232.0
2018-07-13,82.77799999999999,83.645,81.902,82.39299999999999,5801.0
2018-07-16,83.26,83.829,82.2,82.402,3796.0
2018-07-17,82.421,82.421,80.032,81.622,7318.0
2018-07-18,81.882,81.902,79.608,80.465,7804.0
2018-07-19,80.465,81.419,78.74,79.984,5581.0
2018-07-20,80.947,83.645,79.984,81.32300000000001,13913.0
2018-07-23,82.286,83.38600000000001,81.429,83.38600000000001,7520.0
2018-07-24,83.838,84.75399999999999,79.993,84.079,17195.0
2018-07-25,84.802,93.28200000000001,83.838,91.54799999999999,30018.0
2018-07-26,92.029,96.35600000000001,92.029,95.402,29849.0
2018-07-27,95.884,103.11,92.801,102.05,43483.0
2018-07-30,106.01,112.17,100.41,101.67,76111.0
2018-07-31,101.18,106.97,97.23299999999999,98.29299999999999,30389.0
2018-08-01,98.773,100.98,97.38799999999999,98.853,17970.0
2018-08-02,99.55,100.41,98.87299999999999,99.061,10729.0
2018-08-03,99.26,100.22,97.811,97.811,6983.0
2018-08-06,99.26,99.72,93.976,95.884,17488.0
2018-08-07,96.366,99.12100000000001,93.764,96.17299999999999,16212.0
2018-08-08,97.23299999999999,102.9,95.884,102.9,64349.0
2018-08-09,105.23,109.85,102.27,109.85,32985.0
2018-08-10,110.05,110.05,106.01,109.38,12741.0
2018-08-13,108.79,114.17,106.09,112.75,22833.0
2018-08-14,112.75,118.51,111.79,118.05,23011.0
2018-08-16,120.34,122.96,113.33,120.93,20825.0
2018-08-17,121.42,122.77,116.14,118.53,21119.0
2018-08-20,119.5,123.54,115.64,116.12,17982.0
2018-08-21,118.34,118.53,113.73,116.6,11225.0
2018-08-22,117.56,119.5,114.19,114.79,10124.0
2018-08-23,116.6,116.6,111.81,112.65,13601.0
2018-08-24,116.51,116.51,112.98,113.71,9449.0
2018-08-27,114.68,119.97,114.49,115.64,28413.0
2018-08-28,113.23,118.53,101.92,101.92,72515.0
2018-08-29,101.9,110.82,91.711,106.01,74246.0
2018-08-30,108.7,108.7,101.18,103.11,12502.0
2018-08-31,102.15,102.15,94.43799999999999,97.619,25680.0
2018-09-03,96.385,97.329,81.91,81.91,65348.0
2018-09-04,80.08,88.088,78.249,86.51700000000001,62318.0
2018-09-05,86.344,93.28200000000001,86.344,88.175,35701.0
2018-09-06,86.632,87.211,82.875,85.28299999999999,24712.0
2018-09-07,83.838,89.428,83.838,85.28299999999999,27132.0
2018-09-10,83.85799999999999,90.054,80.947,89.62,23927.0
2018-09-11,91.54799999999999,91.54799999999999,83.838,84.22399999999999,15581.0
